nameOnCard,pan,cvv,currency,ExpireYear,ExpireMonth,CustomerID
Calista Massey,670677 1155262374,312,"$1,022.77",2039,1,7943695
Mari Hooper,5246918455674397,460,"$1,967.67",2030,3,1298411
Wendy Gaines,3031 624726 23268,538,"$1,390.13",2039,4,1411625
Erasmus Black,67065784963427683,599,$477.22,2030,8,6400908
Galena Gould,4911296795877226,557,$592.52,2028,2,8932282
Emerson Duffy,365478436133458,356,"$1,615.65",2023,6,3847547
Althea Mitchell,564182 391186 4650,480,$230.13,2024,10,4670406
Merritt Sims,367461565364563,996,$27.97,2039,6,5991576
Vernon House,649278 4684545845,674,$460.78,2025,1,7628593
Orlando Powers,368365692184944,171,$790.39,2023,9,2493482
Melvin Sanchez,547272 244455 7647,134,$919.11,2033,2,5168449
Josephine Griffith,3643 552496 43363,442,"$1,402.52",2038,7,1551813
Fatima Michael,364271454124710,918,$953.93,2036,10,4164278
Pearl Morse,484438 4736782218,271,$159.74,2024,7,4903606
Carlos Newman,6334 8652 4226 9325,207,$156.45,2031,2,7482320
Darrel Mcpherson,302758741981964,668,"$1,393.11",2032,4,3115347
Aurelia Campos,633445 312745 7529,657,"$1,082.66",2028,6,7377038
Tyler Hurst,3625 392663 46826,900,"$1,734.15",2038,2,9384336
Xena Salinas,4936 8122 4271 8366,639,"$1,372.51",2035,1,3094902
Martha Huber,4891352248547181,678,"$1,434.60",2030,12,2292210
Chantale Sanford,491189 464621 2757,338,"$1,284.18",2028,8,7157445
Cooper Morrow,368672213882249,905,"$1,258.63",2024,3,3637325
Rhoda Joseph,4556361438741,331,$516.94,2037,3,1702614
Isabella Dale,6334465723227221,523,"$1,311.08",2034,10,3864125
Wyatt Buckley,633463686122245167,924,"$1,633.58",2025,11,3593540
Dorian Potter,214973466147578,162,$751.41,2025,3,9282689
Alexandra Johnston,5191 6216 6572 8830,959,$659.64,2026,4,4411387
Fulton Serrano,3774 484764 32785,459,$184.71,2031,10,6287561
Rudyard Sanford,491676 668757 7246,624,"$1,200.08",2026,11,5157359
Nicholas Stein,3006 276537 14790,449,$921.29,2024,11,5256368
Odette Leon,5189189381864671,437,$126.48,2033,9,569945
Deacon O'connor,6455525845898531,486,$26.31,2034,11,5455055
Ishmael Huber,305476163762963,973,"$1,244.88",2032,8,6816306
Guinevere Oneil,6334456841116982,700,"$1,774.92",2038,4,239546
Brenden Malone,6759772575545477,212,$345.46,2039,8,8721214
Isadora Weeks,3772 857566 15634,759,"$1,951.92",2040,9,1620446
Willa Gonzales,633110 8433482750,241,$786.09,2031,10,3239703
Merritt Beasley,342338718937588,867,$953.02,2035,4,3813675
Teegan Colon,6567 2833 4126 3777,199,$733.77,2024,6,3525537
Althea Fisher,304284394336420,955,$720.06,2025,6,8640461
Serena Blackwell,3757 832856 43574,480,"$1,475.86",2038,3,9940327
Britanni Salas,6334 3322 4852 2686,962,$275.75,2032,12,5206044
Chiquita Mclaughlin,676262 515736 3260,843,"$1,895.43",2025,7,9217804
Martin Richmond,670 68995 32826 429,377,"$1,881.27",2027,11,4074580
Gay Parrish,5149 5252 3452 7883,625,"$1,458.62",2032,3,8660649
Mollie Ortiz,201488333777148,596,$548.86,2028,3,9162698
Olivia Floyd,491113277328773897,477,$869.41,2036,2,2511642
Giselle Ball,6762 885 58 3646,300,"$1,509.37",2030,11,7426623
Thomas Winters,490 56635 46562 340,903,$162.60,2038,5,7028973
Camden Hutchinson,402 64352 88595 372,854,$277.32,2023,11,7508120
Ashton Holloway,677123 66 4893 8483 862,563,$654.84,2038,1,9033099
Nolan Hamilton,484 42867 85233 664,169,$734.30,2027,5,6104079
Elmo Smith,3037 773456 33127,499,$397.79,2027,10,8298148
Carl Hood,633414 8656533886,535,$969.55,2030,6,7420880
Hayley Forbes,56528483826164,374,"$1,966.80",2023,11,7417402
Jack Craig,4903397391324536225,658,"$1,311.43",2038,12,6150284
Anastasia David,4026 8187 7352 8398,147,"$1,446.06",2032,1,7264357
Abel George,562 75443 68769 659,250,$973.76,2038,7,3387750
Keelie Mcdonald,491 34724 58522 825,981,$467.28,2038,7,9375066
Hayes Gregory,5483914451438582,528,$530.84,2028,9,3355537
Cara Cox,4024007134562,388,"$1,062.98",2030,10,3271902
Chaim Rodriquez,376175744292938,657,"$1,694.42",2037,9,1054871
Jamalia Oliver,3654 874364 36837,422,"$1,595.96",2039,3,1398142
Whitney Gilliam,5038776658155736165,853,"$1,314.30",2029,10,8040868
Scarlet Humphrey,402 40071 34998 944,979,"$1,748.71",2040,7,5749851
